,Datetime,Tweet Id,Username,Likes,Retweets,Text,token,tweet_tokens_WSW,tweet_tokens_stemmed
15,2023-03-15 05:38:23+00:00,1635878086574231554,nu_online,0,0,"Fitur ini menyediakan berbagai konten seputar Ramadhan. So, bagi yang masih belum hafal niat, amaliyah, bacaan-bacaan yang dilakukan selama Ramadhan berlangsung bisa memanfaatkan fitur ini. 

#nahdlatululama #nuonline #ramadhan #aplikasikeislaman https://t.co/64BUamLQW9","['fitur', 'ini', 'menyediakan', 'berbagai', 'konten', 'seputar', 'ramadhan', 'so', 'bagi', 'yang', 'masih', 'belum', 'hafal', 'niat', 'amaliyah', 'bacaanbacaan', 'yang', 'dilakukan', 'selama', 'ramadhan', 'berlangsung', 'bisa', 'memanfaatkan', 'fitur', 'ini']","['fitur', 'menyediakan', 'konten', 'seputar', 'ramadhan', 'so', 'hafal', 'niat', 'amaliyah', 'bacaanbacaan', 'ramadhan', 'memanfaatkan', 'fitur']","['fitur', 'sedia', 'konten', 'putar', 'ramadhan', 'so', 'hafal', 'niat', 'amaliyah', 'bacaanbacaan', 'ramadhan', 'manfaat', 'fitur']"
16,2023-03-15 05:38:17+00:00,1635878060699570176,rdkugm,0,0,"Tanggal 9 Maret lalu. Kami ucapkan terima kasih atas kehadiran dan semangat kalian yang menggebu-gebu! 

Pastinya kalian sudah tidak sabar menunggu serangkaian acara lainnya kan?","['tanggal', 'maret', 'lalu', 'kami', 'ucapkan', 'terima', 'kasih', 'atas', 'kehadiran', 'dan', 'semangat', 'kalian', 'yang', 'menggebugebu', 'pastinya', 'kalian', 'sudah', 'tidak', 'sabar', 'menunggu', 'serangkaian', 'acara', 'lainnya', 'kan']","['tanggal', 'maret', 'ucapkan', 'terima', 'kasih', 'kehadiran', 'semangat', 'menggebugebu', 'pastinya', 'sabar', 'menunggu', 'serangkaian', 'acara']","['tanggal', 'maret', 'ucap', 'terima', 'kasih', 'hadir', 'semangat', 'menggebugebu', 'pasti', 'sabar', 'tunggu', 'rangkai', 'acara']"
17,2023-03-15 05:38:07+00:00,1635878017741516802,yuk_ramadhan,0,0,@jihanicorn Tapi sorteos lebih sombong sama aku dari pada Pickaw :(,"['tapi', 'sorteos', 'lebih', 'sombong', 'sama', 'aku', 'dari', 'pada', 'pickaw']","['sorteos', 'sombong', 'pickaw']","['sorteos', 'sombong', 'pickaw']"
18,2023-03-15 05:37:52+00:00,1635877957603561473,RioRifqiR,0,0,@almif12_ @GoldMine82 @persebayaupdate Alwi ambek bestie ne pemain legend kaet liga 2 siapa lagi kalau bukan Hidayat 🔥🙌,"['alwi', 'ambek', 'bestie', 'ne', 'pemain', 'legend', 'kaet', 'liga', 'siapa', 'lagi', 'kalau', 'bukan', 'hidayat']","['alwi', 'ambek', 'bestie', 'ne', 'pemain', 'legend', 'kaet', 'liga', 'hidayat']","['alwi', 'ambek', 'bestie', 'ne', 'main', 'legend', 'kaet', 'liga', 'hidayat']"
19,2023-03-15 05:37:51+00:00,1635877949978312704,aleazizshua,0,0,awal ramadhan bukanya bareng temen kelas inimah 🙂 https://t.co/iPg7DvZVak,"['awal', 'ramadhan', 'bukanya', 'bareng', 'temen', 'kelas', 'inimah']","['ramadhan', 'bukanya', 'bareng', 'temen', 'kelas', 'inimah']","['ramadhan', 'buka', 'bareng', 'temen', 'kelas', 'inimah']"
20,2023-03-15 05:37:49+00:00,1635877943833669633,UGM_FESS,0,0,"haloo temenn2, bentar lagi bulan ramadhan nih, yuk perbanyak sedekah! Nih aku ada rekomendasi platform donasi, nanti bakal disalurin melalui proker2 sosial gitu, kayak bagi2 nasi, ke panti, dan kegiatan sosial lainnya! Yuk berdonasi yuk!❤️ ugm_fess https://t.co/1DrhkluZcK","['haloo', 'temenn', 'bentar', 'lagi', 'bulan', 'ramadhan', 'nih', 'yuk', 'perbanyak', 'sedekah', 'nih', 'aku', 'ada', 'rekomendasi', 'platform', 'donasi', 'nanti', 'bakal', 'disalurin', 'melalui', 'proker', 'sosial', 'gitu', 'kayak', 'bagi', 'nasi', 'ke', 'panti', 'dan', 'kegiatan', 'sosial', 'lainnya', 'yuk', 'berdonasi', 'yuk', 'ugmfess']","['haloo', 'temenn', 'bentar', 'ramadhan', 'yuk', 'perbanyak', 'sedekah', 'rekomendasi', 'platform', 'donasi', 'disalurin', 'proker', 'sosial', 'gitu', 'kayak', 'nasi', 'panti', 'kegiatan', 'sosial', 'yuk', 'berdonasi', 'yuk', 'ugmfess']","['haloo', 'temenn', 'bentar', 'ramadhan', 'yuk', 'banyak', 'sedekah', 'rekomendasi', 'platform', 'donasi', 'disalurin', 'proker', 'sosial', 'gitu', 'kayak', 'nasi', 'panti', 'giat', 'sosial', 'yuk', 'donasi', 'yuk', 'ugmfess']"
21,2023-03-15 05:37:45+00:00,1635877927463317504,ZakatSukses,0,0,"Hutang puasa Ramadhan tahun lalu sudah dibayar belum?

Allah memberikan keringanan untuk mereka yang tidak mampu lagi berpuasa dengan membayar fidyah kepada orang miskin sebagai ganti puasa.

Yuk sahabat tunaikan fidyah melalui:
https://t.co/MB1kK7ezq2
#FYP #fidyah #Zakat","['hutang', 'puasa', 'ramadhan', 'tahun', 'lalu', 'sudah', 'dibayar', 'belum', 'allah', 'memberikan', 'keringanan', 'untuk', 'mereka', 'yang', 'tidak', 'mampu', 'lagi', 'berpuasa', 'dengan', 'membayar', 'fidyah', 'kepada', 'orang', 'miskin', 'sebagai', 'ganti', 'puasa', 'yuk', 'sahabat', 'tunaikan', 'fidyah', 'melalui']","['hutang', 'puasa', 'ramadhan', 'dibayar', 'allah', 'keringanan', 'berpuasa', 'membayar', 'fidyah', 'orang', 'miskin', 'ganti', 'puasa', 'yuk', 'sahabat', 'tunaikan', 'fidyah']","['hutang', 'puasa', 'ramadhan', 'bayar', 'allah', 'ringan', 'puasa', 'bayar', 'fidyah', 'orang', 'miskin', 'ganti', 'puasa', 'yuk', 'sahabat', 'tunai', 'fidyah']"
22,2023-03-15 05:37:38+00:00,1635877899181113344,FunJunkies,0,0,"@marslillo Ramadhan tutup, buka lagi Mei","['ramadhan', 'tutup', 'buka', 'lagi', 'mei']","['ramadhan', 'tutup', 'buka', 'mei']","['ramadhan', 'tutup', 'buka', 'mei']"
23,2023-03-15 05:37:20+00:00,1635877823541051393,pikocingg,0,0,"@diethingy mending yang deket dulu, ramadhan tuh jalanan justru rame orang bukber dll. kalo macet di jalan keburu mager ga sih😂","['mending', 'yang', 'deket', 'dulu', 'ramadhan', 'tuh', 'jalanan', 'justru', 'rame', 'orang', 'bukber', 'dll', 'kalo', 'macet', 'di', 'jalan', 'keburu', 'mager', 'ga', 'sih']","['mending', 'deket', 'ramadhan', 'jalanan', 'rame', 'orang', 'bukber', 'dll', 'macet', 'jalan', 'keburu', 'mager']","['mending', 'deket', 'ramadhan', 'jalan', 'rame', 'orang', 'bukber', 'dll', 'macet', 'jalan', 'keburu', 'mager']"
24,2023-03-15 05:37:19+00:00,1635877818797268992,ox_ramadhan2023,0,0,"@CiervoKing Tg Tiar yanti
Dc Tiar#0424 https://t.co/TZ1R3F5cZX","['tg', 'tiar', 'yanti', 'dc', 'tiar']","['tg', 'tiar', 'yanti', 'dc', 'tiar']","['tg', 'tiar', 'yanti', 'dc', 'tiar']"
