Datetime,Tweet Id,Username,Likes,Retweets,Text
2023-03-15 05:34:45+00:00,1635877170580189184,fajaronline,0,0,"Menilik Peluang Ramadhan Sananta Jadi Pilihan Utama Timnas Indonesia, Pengamat: Kesempatannya Cukup Besar Kali Ini https://t.co/nxLGDUrLVM #PSMMakassar #RamadhanSananta #TimnasIndonesia"
2023-03-15 05:34:41+00:00,1635877153995628545,humaspolseksed1,0,0,"Polsek Sedayu gelar pengajian dan doa bersama menyambut datangnya bulan suci Ramadhan, rabu 15/3/2023
#polisisantri 
#temanpolisi https://t.co/oBKMFYwx7v"
2023-03-15 05:34:24+00:00,1635877081749020674,RakBukuB,0,0,buku yang akan aku baca di Bulan Ramadhan https://t.co/x5jXkHIg0U
2023-03-15 05:34:10+00:00,1635877025129938944,HamzaBakar17,0,0,@FauzKhalid @DrAhmedKalebi @Gogo_Boys_FC Ya barisheba
2023-03-15 05:33:59+00:00,1635876977256304640,dionesaababa1,0,0,"Pastikan pasokan bbm aman jelang ramadhan dan idul fitri, pertamina bentuk tim satgas utk berkordinasi 
#TepatSasaran #TepatGuna @Pertamina @KemenBUMN @erickthohir https://t.co/o1x2sIw8K1"
2023-03-15 05:33:57+00:00,1635876969203245056,ashikinsuhaimi,0,0,"InsyaAllah, 8 hari lagi kita akan menyambut bulan Ramadan. 

“Ya Allah berkatilah bagi kami dalam bulan  Sya'ban dan sampaikanlah kami ke bulan Ramadhan.” https://t.co/9cTJ3wyrxp"
2023-03-15 05:33:31+00:00,1635876859840970752,berhijabmerah,0,0,Sebuah antisipasi lonjakan harga pangan menjelang ramadhan 🤩 https://t.co/mXsbPS8R6R
2023-03-15 05:33:29+00:00,1635876854359007237,fazzams,1,0,"Selain itu, meski padat agenda Islamisasi Pengetahuan, Maskam juga menggunakan pendekatan kultural dan juga sesekali merangkul tokoh2 lain (khususnya pas Ramadhan). 

Dan yang paling penting makan gratis tiap senin dan kamis wkwk"
2023-03-15 05:33:02+00:00,1635876741012140033,Choheeteuk,0,0,"@Outstandjing Kayak warung makan bulek ku. Tiap ramadhan pasti tutup, tapi blio sudah ada tabungan buat keperluan selama ramadhan + 14 hari lebaran dan segala baju baru nya. Itu diluar tabungan pribadi untuk keperluan mendesak."
2023-03-15 05:32:56+00:00,1635876713996636160,suucciii,0,0,pastinya 1 Ramadhan sih
2023-03-15 05:32:40+00:00,1635876648561315840,RioRifqiR,1,0,"@kafiiel @GoldMine82 @persebayaupdate Feeling ku pemain asing sak negara ne Valente iku bek tengah asing pengganti ne Lelis 
Let's see 👀"
2023-03-15 05:32:39+00:00,1635876643574276096,ZakiHafifi,0,0,Bang haji ajak join tournament golf geng surau sempena nak sambut ramadhan. Surau mana aku tak tahu la.
